"","station","time","MSL"
"1","9410170",1994-01-01,-0.001
"2","9410170",1994-02-01,-0.056
"3","9410170",1994-03-01,-0.062
"4","9410170",1994-04-01,-0.12
"5","9410170",1994-05-01,-0.069
"6","9410170",1994-06-01,-0.003
"7","9410170",1994-07-01,0.042
"8","9410170",1994-08-01,0.085
"9","9410170",1994-09-01,0.082
"10","9410170",1994-10-01,0.064
"11","9410170",1994-11-01,0.005
"12","9410170",1994-12-01,0.015
"13","9410170",1995-01-01,-0.002
"14","9410170",1995-02-01,0.004
"15","9410170",1995-03-01,-0.028
"16","9410170",1995-04-01,-0.113
"17","9410170",1995-05-01,-0.079
"18","9410170",1995-06-01,-0.019
"19","9410170",1995-07-01,0.023
"20","9410170",1995-08-01,0.098
"21","9410170",1995-09-01,0.087
"22","9410170",1995-10-01,0.036
"23","9410170",1995-11-01,-0.008
"24","9410170",1995-12-01,-0.013
"25","9410170",1996-01-01,-0.075
"26","9410170",1996-02-01,-0.052
"27","9410170",1996-03-01,-0.091
"28","9410170",1996-04-01,-0.106
"29","9410170",1996-05-01,-0.036
"30","9410170",1996-06-01,-0.029
"31","9410170",1996-07-01,0.012
"32","9410170",1996-08-01,0.06
"33","9410170",1996-09-01,0.075
"34","9410170",1996-10-01,0.043
"35","9410170",1996-11-01,-0.026
"36","9410170",1996-12-01,-0.035
"37","9410170",1997-01-01,-0.057
"38","9410170",1997-02-01,-0.074
"39","9410170",1997-03-01,-0.036
"40","9410170",1997-04-01,-0.073
"41","9410170",1997-05-01,0.035
"42","9410170",1997-06-01,0.061
"43","9410170",1997-07-01,0.071
"44","9410170",1997-08-01,0.153
"45","9410170",1997-09-01,0.19
"46","9410170",1997-10-01,0.216
"47","9410170",1997-11-01,0.205
"48","9410170",1997-12-01,0.178
"49","9410170",1998-01-01,0.11
"50","9410170",1998-02-01,0.028
"51","9410170",1998-03-01,0.01
"52","9410170",1998-04-01,-0.087
"53","9410170",1998-05-01,-0.046
"54","9410170",1998-06-01,-0.015
"55","9410170",1998-07-01,0.074
"56","9410170",1998-08-01,0.098
"57","9410170",1998-09-01,0.088
"58","9410170",1998-10-01,0.019
"59","9410170",1998-11-01,-0.011
"60","9410170",1998-12-01,-0.097
"61","9410170",1999-01-01,-0.072
"62","9410170",1999-02-01,-0.137
"63","9410170",1999-03-01,-0.116
"64","9410170",1999-04-01,-0.098
"65","9410170",1999-05-01,-0.052
"66","9410170",1999-06-01,-0.016
"67","9410170",1999-07-01,0.021
"68","9410170",1999-08-01,0.011
"69","9410170",1999-09-01,0
"70","9410170",1999-10-01,-0.022
"71","9410170",1999-11-01,-0.084
"72","9410170",1999-12-01,-0.083
"73","9410170",2000-01-01,-0.095
"74","9410170",2000-02-01,-0.109
"75","9410170",2000-03-01,-0.097
"76","9410170",2000-04-01,-0.123
"77","9410170",2000-05-01,-0.064
"78","9410170",2000-06-01,0.009
"79","9410170",2000-07-01,0.029
"80","9410170",2000-08-01,0.041
"81","9410170",2000-09-01,0.056
"82","9410170",2000-10-01,0.009
"83","9410170",2000-11-01,-0.041
"84","9410170",2000-12-01,-0.082
"85","9410170",2001-01-01,-0.079
"86","9410170",2001-02-01,-0.084
"87","9410170",2001-03-01,-0.073
"88","9410170",2001-04-01,-0.135
"89","9410170",2001-05-01,-0.025
"90","9410170",2001-06-01,-0.021
"91","9410170",2001-07-01,0.01
"92","9410170",2001-08-01,0.018
"93","9410170",2001-09-01,0.045
"94","9410170",2001-10-01,0.009
"95","9410170",2001-11-01,-0.018
"96","9410170",2001-12-01,-0.052
"97","9410170",2002-01-01,-0.072
"98","9410170",2002-02-01,-0.085
"99","9410170",2002-03-01,-0.106
"100","9410170",2002-04-01,-0.116
"101","9410170",2002-05-01,-0.102
"102","9410170",2002-06-01,-0.039
"103","9410170",2002-07-01,0.027
"104","9410170",2002-08-01,0.02
"105","9410170",2002-09-01,0.09
"106","9410170",2002-10-01,0.026
"107","9410170",2002-11-01,0.066
"108","9410170",2002-12-01,0.035
"109","9410170",2003-01-01,-0.021
"110","9410170",2003-02-01,0.03
